Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
185,Eliminated,20,0,6,3,10,50.0%,50,5.52,92.0%,52.0%,52.0%,50.0%,-,-,-,-,-,-,-
186,Eliminated,20,0,10,3,10,50.0%,50,5.00,98.0%,72.0%,64.0%,50.0%,-,-,-,-,-,-,-
187,Eliminated,20,5,10,3,6,50.0%,50,9.44,92.0%,76.0%,62.0%,50.0%,-,-,-,-,-,-,-
188,Eliminated,20,5,10,3,8,50.0%,50,10.30,98.0%,58.0%,58.0%,50.0%,-,-,-,-,-,-,-
189,Eliminated,20,15,6,2,10,50.0%,50,14.52,78.0%,60.0%,52.9%,50.0%,-,-,-,-,-,-,-
190,Eliminated,20,20,10,2,8,49.0%,49,15.69,86.0%,54.0%,52.0%,49.0%,-,-,-,-,-,-,-
191,Eliminated,0,0,2,3,8,48.0%,50,3.06,70.0%,62.0%,52.0%,48.0%,-,-,-,-,-,-,-
192,Eliminated,0,0,6,2,4,48.0%,50,3.60,94.0%,60.0%,58.0%,48.0%,-,-,-,-,-,-,-
193,Eliminated,0,5,6,3,4,48.0%,50,6.44,80.0%,60.0%,74.0%,48.0%,-,-,-,-,-,-,-
194,Eliminated,0,5,10,3,6,48.0%,50,6.50,90.0%,58.0%,68.0%,48.0%,-,-,-,-,-,-,-
195,Eliminated,5,0,0,2,8,48.0%,50,4.40,84.0%,54.0%,50.0%,48.0%,-,-,-,-,-,-,-
